Rank,Country,Capital,Continent,Year,Population,Area,Growth_rate,GDP
28,Colombia,Bogota,South America,2020,50930662,1141748,0.136436524,2.71438E+11
163,Comoros,Moroni,Africa,2020,806166,1862,0.228866627,1235400352
223,Cook Islands,Avarua,Oceania,2020,17029,236,-0.010632117,#N/A
124,Costa Rica,San José,North America,2020,5123105,51100,0.108356922,61846895121
130,Croatia,Zagreb,Europe,2020,4096868,56594,-0.062218765,57203783203
85,Cuba,Havana,North America,2020,11300698,109884,0.000910595,1.07352E+11
189,Curacao,Willemstad,North America,2020,189288,444,0.187652152,2595821709
158,Cyprus,Nicosia,Europe,2020,1237537,9251,0.095469892,24612646488
88,Czechia,Prague,Europe,2020,10530953,78865,0.006326382,2.45339E+11
115,Denmark,Copenhagen,Europe,2020,5825641,43094,0.049504499,3.56085E+11
160,Djibouti,Djibouti,Africa,2020,1090156,23200,0.185984754,3384385217
204,Dominica,Roseau,North America,2020,71995,751,0.047123846,504214814.8
84,Dominican Republic,Santo Domingo,North America,2020,10999664,48671,0.125198412,78844702329
15,Dem. Rep. Congo,Kinshasa,Africa,2020,92853164,2344858,0.398575177,48716960860
67,Ecuador,Quito,South America,2020,17588595,276841,0.173387722,98808010000
14,Egypt,Cairo,Africa,2020,107465134,1002450,0.231658017,3.65253E+11
112,El Salvador,San Salvador,North America,2020,6292731,21041,0.029227348,24638720000
152,Eq. Guinea,Malabo,Africa,2020,1596049,28051,0.458212885,10021856754
132,Eritrea,Asmara,Africa,2020,3555868,117600,0.129662134,0
156,Estonia,Tallinn,Europe,2020,1329444,45227,-0.001570368,30650285472
159,eSwatini,Mbabane,Africa,2020,1180655,17364,0.073400793,3972728948
12,Ethiopia,Addis Ababa,Africa,2020,117190911,1104300,0.313243074,1.07645E+11
231,Falkland Islands,Stanley,South America,2020,3747,12173,0.175713837,#N/A
209,Faroe Islands,Tórshavn,Europe,2020,52415,1393,0.082730841,0
162,Fiji,Suva,Oceania,2020,920422,18272,0.016850997,4533883782
118,Finland,Helsinki,Europe,2020,5529468,338424,0.030987992,2.69595E+11
23,France,Paris,Europe,2020,64480053,551695,0.032596687,2.63032E+12
184,French Guiana,Cayenne,South America,2020,290969,83534,0.273649285,#N/A
183,French Polynesia,Papeete,Oceania,2020,301920,4167,0.063892765,0
146,Gabon,Libreville,Africa,2020,2292573,267668,0.339820175,15316826192
142,Gambia,Banjul,Africa,2020,2573995,10689,0.328667845,1868086275
131,Georgia,Tbilisi,Asia,2020,3765912,69700,-0.018483743,15846489611
19,Germany,Berlin,Europe,2020,83328988,357114,0.024640588,3.84641E+12
47,Ghana,Accra,Africa,2020,32180401,238533,0.258289524,68532281806
219,Gibraltar,Gibraltar,Europe,2020,32709,6,0.046286226,0
90,Greece,Athens,Europe,2020,10512232,131990,-0.047268557,1.88835E+11
208,Greenland,Nuuk,North America,2020,56026,2166086,-0.005767422,0
193,Grenada,Saint George's,North America,2020,123663,344,0.084392182,1042100556
178,Guadeloupe,Basse-Terre,North America,2020,395642,1628,-0.018433431,#N/A
191,Guam,Hagåtña,Oceania,2020,169231,549,0.026233286,5844000000
68,Guatemala,Guatemala City,North America,2020,17362718,108889,0.193878398,77604632171
207,Guernsey,Saint Peter Port,Europe,2020,62794,78,0.033101905,#N/A
75,Guinea,Conakry,Africa,2020,13205153,245857,0.285707595,15681050917
149,Guinea-Bissau,Bissau,Africa,2020,2015828,36125,0.286244433,1431758243
164,Guyana,Georgetown,South America,2020,797202,214969,0.065874973,5471256595
82,Haiti,Port-au-Prince,North America,2020,11306801,27750,0.148728929,14508218017
89,Honduras,Tegucigalpa,North America,2020,10121763,112492,0.197709531,23662231634
104,Hong Kong,Hong Kong,Asia,2020,7500958,1104,0.051668167,3.46586E+11
94,Hungary,Budapest,Europe,2020,9750573,93028,-0.023656367,1.55808E+11
179,Iceland,Reykjavík,Europe,2020,366669,103000,0.151840997,21718075725
2,India,New Delhi,Asia,2020,1396387127,3287590,0.125561661,2.66025E+12
4,Indonesia,Jakarta,Asia,2020,271857970,1904569,0.114098163,1.05842E+12
17,Iran,Tehran,Asia,2020,87290193,1648195,0.158096438,2.03471E+11
35,Iraq,Baghdad,Asia,2020,42556984,438317,0.361175568,1.66757E+11
125,Ireland,Dublin,Europe,2020,4946119,70273,0.09316523,4.25889E+11
202,Isle of Man,Douglas,Europe,2020,84046,572,0.002600563,0
98,Israel,Jerusalem,Asia,2020,8757489,20770,0.194999621,4.07101E+11
25,Italy,Rome,Europe,2020,59500579,301336,-0.005380438,1.88871E+12
52,Côte d'Ivoire,Yamoussoukro,Africa,2020,26811790,322463,0.269495108,61348579465
139,Jamaica,Kingston,North America,2020,2820436,10991,0.031654459,13812425037
11,Japan,Tokyo,Asia,2020,125244761,377930,-0.022330591,5.05776E+12
195,Jersey,Saint Helier,Europe,2020,108319,116,0.126550946,#N/A
83,Jordan,Amman,Asia,2020,10928721,89342,0.576729794,43697659296
66,Kazakhstan,Nursultan,Asia,2020,18979243,2724900,0.141413823,1.71082E+11
27,Kenya,Nairobi,Africa,2020,51985780,580367,0.252129473,1.01014E+11
192,Kiribati,Tarawa,Oceania,2020,126463,811,0.171007917,197508774.3
129,Kuwait,Kuwait City,Asia,2020,4360444,17818,0.481453144,1.0596E+11
110,Kyrgyzstan,Bishkek,Asia,2020,6424874,199951,0.171615388,7735976273
103,Laos,Vientiane,Asia,2020,7319399,236800,0.157506747,19132635712
151,Latvia,Riga,Europe,2020,1897052,64559,-0.097299586,33707320816
119,Lebanon,Beirut,Asia,2020,5662923,10452,0.133536771,31735217785
147,Lesotho,Maseru,Africa,2020,2254100,30355,0.114375649,1875227642
121,Liberia,Monrovia,Africa,2020,5087584,111369,0.265582011,3201187800
107,Libya,Tripoli,Africa,2020,6653942,1759540,0.02494675,25418916029
216,Liechtenstein,Vaduz,Europe,2020,38756,160,0.078773033,0
141,Lithuania,Vilnius,Europe,2020,2820267,65300,-0.101545101,56546957475
168,Luxembourg,Luxembourg,Europe,2020,630399,2586,0.243218885,73353132794
167,Macau,Concelho de Macau,Asia,2020,676283,30,0.213505546,25586111076
50,Madagascar,Antananarivo,Africa,2020,28225177,587041,0.298840742,13056079982
62,Malawi,Lilongwe,Africa,2020,19377061,118484,0.316517559,12182348213
45,Malaysia,Kuala Lumpur,Asia,2020,33199993,330803,0.156079949,3.37006E+11
174,Maldives,Malé,Asia,2020,514438,300,0.422769826,3742769967
59,Mali,Bamako,Africa,2020,21224040,1240192,0.366719855,17465392916
173,Malta,Valletta,Europe,2020,515357,316,0.230688589,14647384608
215,Marshall Islands,Majuro,Oceania,2020,43413,181,-0.187265988,244462400
180,Martinique,Fort-de-France,North America,2020,370391,1128,-0.05556108,#N/A
126,Mauritania,Nouakchott,Africa,2020,4498604,1030700,0.315588626,7913680231
157,Mauritius,Port Louis,Africa,2020,1297828,2040,0.011297172,10920606198
182,Mayotte,Mamoudzou,Africa,2020,305587,374,0.44290463,#N/A
10,Mexico,Mexico City,North America,2020,125998302,1964375,0.119662434,1.07392E+12
194,Micronesia,Palikir,Oceania,2020,112106,702,0.041993531,410083600
135,Moldova,Chisinau,Europe,2020,3084847,33846,-0.161312941,11915547263
217,Monaco,Monaco,Europe,2020,36922,2,0.112845862,6816219303
134,Mongolia,Ulaanbaatar,Asia,2020,3294335,1564110,0.218986353,13312981595
169,Montenegro,Podgorica,Europe,2020,629048,13812,-0.003163012,4769860741
230,Montserrat,Brades,North America,2020,4500,102,-0.088699878,#N/A
40,Morocco,Rabat,Africa,2020,36688772,446550,0.130107025,1.14725E+11
48,Mozambique,Maputo,Africa,2020,31178239,801590,0.3512444,14019446610
26,Myanmar,Nay Pyi Taw,Asia,2020,53423198,676578,0.081638577,79852046611
145,Namibia,Windhoek,Africa,2020,2489098,825615,0.185696368,10619194505
225,Nauru,Yaren,Oceania,2020,12315,21,0.202519285,114626625.6
49,Nepal,Kathmandu,Asia,2020,29348627,147181,0.080520391,33657175561
71,Netherlands,Amsterdam,Europe,2020,17434557,41850,0.049192712,9.13865E+11
185,New Caledonia,Nouméa,Oceania,2020,286403,18575,0.095541377,0
123,New Zealand,Wellington,Oceania,2020,5061133,270467,0.164459138,2.10701E+11
106,Nicaragua,Managua,North America,2020,6755895,130373,0.153723,12621505383
54,Niger,Niamey,Africa,2020,24333639,1267000,0.461695519,13741378450
6,Nigeria,Abuja,Africa,2020,208327405,923768,0.294338069,4.32294E+11
232,Niue,Alofi,Oceania,2020,1942,260,0.071743929,#N/A
56,North Korea,Pyongyang,Asia,2020,25867467,120538,0.047841335,0
150,North Macedonia,Skopje,Europe,2020,2111072,25713,0.008235633,12263710123
210,Northern Mariana Islands,Saipan,Oceania,2020,49587,464,-0.08319929,#N/A
120,Norway,Oslo,Europe,2020,5379839,323802,0.100229849,3.62198E+11
127,Oman,Muscat,Asia,2020,4543399,309500,0.576521367,73971391417
5,Pakistan,Islamabad,Asia,2020,227196741,881912,0.168379972,2.6261E+11
222,Palau,Ngerulmud,Oceania,2020,17972,459,-0.030636462,257700000
122,Palestine,Ramallah,Asia,2020,5019401,6220,0.257277424,15561300000
128,Panama,Panama City,North America,2020,4294396,75417,0.185113107,53977036995
93,Papua New Guinea,Port Moresby,Oceania,2020,9749640,462840,0.28567772,24668899683
109,Paraguay,Asunción,South America,2020,6618695,406752,0.147363326,35670301496
44,Peru,Lima,South America,2020,33304756,1285216,0.1394199,2.02014E+11
13,Philippines,Manila,Asia,2020,112190977,342353,0.185491221,3.61489E+11
37,Poland,Warsaw,Europe,2020,38428366,312679,-0.004378202,5.96624E+11
92,Portugal,Lisbon,Europe,2020,10298192,92090,-0.027408199,2.28539E+11
136,Puerto Rico,San Juan,North America,2020,3271564,8870,-0.120055773,1.03138E+11
143,Qatar,Doha,Asia,2020,2760385,11586,0.610959181,1.44411E+11
114,Congo,Brazzaville,Africa,2020,5702174,342000,0.28488577,10187122341
161,Reunion,Saint-Denis,Africa,2020,957822,2511,0.076047319,#N/A
64,Romania,Bucharest,Europe,2020,19442038,238391,-0.043922485,2.48716E+11
9,Russia,Moscow,Europe,2020,145617329,17098242,0.016578378,1.4835E+12
76,Rwanda,Kigali,Africa,2020,13146362,26338,0.275227711,10333991456
228,Saint Barthelemy,Gustavia,North America,2020,10681,21,0.188362261,#N/A
211,Saint Kitts and Nevis,Basseterre,North America,2020,47642,261,0.005041875,980740740.7
190,Saint Lucia,Castries,North America,2020,179237,616,0.048568169,1616772741
220,Saint Martin,Marigot,North America,2020,32552,53,-0.10713698,0
229,Saint Pierre and Miquelon,Saint-Pierre,North America,2020,5906,242,-0.024124256,#N/A
199,Saint Vincent and the Grenadines,Kingstown,North America,2020,104632,389,-0.042778205,807474074.1
188,Samoa,Apia,Oceania,2020,214929,2842,0.104057081,807100820.6
218,San Marino,San Marino,Europe,2020,34007,61,0.075898507,0
187,Sao Tome and Principe,São Tomé,Africa,2020,218641,964,0.200413972,472914469.9
41,Saudi Arabia,Riyadh,Asia,2020,35997107,2149690,0.223894801,7.00118E+11
72,Senegal,Dakar,Africa,2020,16436119,196722,0.311728674,24644234595
105,Serbia,Belgrade,Europe,2020,7358005,88361,-0.038640284,53335016425
196,Seychelles,Victoria,Africa,2020,105530,452,0.141988334,1059886364
102,Sierra Leone,Freetown,Africa,2020,8233969,71740,0.279222514,4063289450
113,Singapore,Singapore,Asia,2020,5909869,710,0.14452716,3.39998E+11
214,Sint Maarten,Philipsburg,North America,2020,43621,34,0.320487982,0
116,Slovakia,Bratislava,Europe,2020,5456681,49037,0.011166098,1.05173E+11
148,Slovenia,Ljubljana,Europe,2020,2117641,20273,0.029337195,53589609581
166,Solomon Islands,Honiara,Oceania,2020,691191,28896,0.2790501,1545888426
70,Somaliland,Mogadishu,Africa,2020,16537016,637657,0.375031066,6965285325
24,South Africa,Pretoria,Africa,2020,58801927,1221037,0.135502881,3.35442E+11
29,South Korea,Seoul,Asia,2020,51844690,100210,0.062107336,1.6379E+12
86,S. Sudan,Juba,Africa,2020,10606227,619745,0.091802505,0
30,Spain,Madrid,Europe,2020,47363807,505992,0.016984924,1.28148E+12
61,Sri Lanka,Colombo,Asia,2020,21715079,65610,0.05063353,80676681934
32,Sudan,Khartoum,Africa,2020,44440486,1886068,0.317148022,21329109522
170,Suriname,Paramaribo,South America,2020,607065,163820,0.111677776,2884248048
87,Sweden,Stockholm,Europe,2020,10368969,450295,0.10523007,5.4122E+11
101,Switzerland,Bern,Europe,2020,8638613,41284,0.104338099,7.52248E+11
60,Syria,Damascus,Asia,2020,20772595,185180,-0.070059926,0
57,Taiwan,Taipei,Asia,2020,23821464,36193,0.031987971,#N/A
95,Tajikistan,Dushanbe,Asia,2020,9543207,143100,0.25209705,8194150302
22,Tanzania,Dodoma,Africa,2020,61704518,945087,0.367851854,62409709111
20,Thailand,Bangkok,Asia,2020,71475664,513120,0.046948177,5.01644E+11
155,Timor-Leste,Dili,Asia,2020,1299995,14874,0.194314856,1902156800
100,Togo,Lomé,Africa,2020,8442580,56785,0.284657072,7574636979
233,Tokelau,Nukunonu,Oceania,2020,1827,12,0.336503292,#N/A
197,Tonga,Nuku‘alofa,Oceania,2020,105254,747,-0.019826229,488829964.1
153,Trinidad and Tobago,Port-of-Spain,North America,2020,1518147,5130,0.076474017,21588037505
79,Tunisia,Tunis,Africa,2020,12161723,163610,0.116259998,41620349986
18,Turkey,Ankara,Asia,2020,84135428,783562,0.149464191,7.19955E+11
111,Turkmenistan,Ashgabat,Asia,2020,6250438,488100,0.186498405,0
212,Turks and Caicos Islands,Cockburn Town,North America,2020,44276,948,0.489470497,924583000
227,Tuvalu,Funafuti,Oceania,2020,11069,26,0.049194313,48855550.2
31,Uganda,Kampala,Africa,2020,44404611,241550,0.372982019,37600368181
38,Ukraine,Kiev,Europe,2020,43909666,603500,-0.038818668,1.55499E+11
97,United Arab Emirates,Abu Dhabi,Asia,2020,9287289,83600,0.094970496,3.58869E+11
21,United Kingdom,London,Europe,2020,67059474,242900,0.068505933,2.7598E+12
3,United States of America,"Washington, D.C.",North America,2020,335942003,9372610,0.079564662,2.0953E+13
200,United States Virgin Islands,Charlotte Amalie,North America,2020,100442,347,-0.053701645,0
133,Uruguay,Montevideo,South America,2020,3429086,181034,0.022798377,53628827440
43,Uzbekistan,Tashkent,Asia,2020,33526656,447400,0.171677851,59929951114
181,Vanuatu,Port-Vila,Oceania,2020,311685,12189,0.269835773,881547928.6
234,Vatican City,Vatican City,Europe,2020,520,1,-0.127516779,#N/A
51,Venezuela,Caracas,South America,2020,28490453,916445,-0.00782061,0
16,Vietnam,Hanoi,Asia,2020,96648685,331212,0.105680884,2.71158E+11
226,Wallis and Futuna,Mata-Utu,Oceania,2020,11655,142,-0.113148684,#N/A
172,W. Sahara,El Aaiún,Africa,2020,556048,266000,0.345398939,#N/A
46,Yemen,Sanaa,Asia,2020,32284046,527968,0.304725043,0
63,Zambia,Lusaka,Africa,2020,18927715,752612,0.37236057,18110631358
74,Zimbabwe,Harare,Africa,2020,15669666,390757,0.220400738,18051170799
36,Afghanistan,Kabul,Asia,2010,28189672,652230,0.442444761,15856678596
138,Albania,Tirana,Europe,2010,2913399,28748,-0.084418676,11926922829
34,Algeria,Algiers,Africa,2010,35856344,2381741,0.16512707,1.61207E+11
213,American Samoa,Pago Pago,Oceania,2010,54849,199,-0.058062854,573000000
203,Andorra,Andorra la Vella,Europe,2010,71519,468,0.082030955,3449966857
42,Angola,Luanda,Africa,2010,23364185,1246700,0.42516144,83799496611
224,Anguilla,The Valley,North America,2010,13172,91,0.192359917,#N/A
201,Antigua and Barbuda,Saint John’s,North America,2010,85695,442,0.141762707,1148700000
33,Argentina,Buenos Aires,South America,2010,41100123,2780400,0.108693414,4.23627E+11
140,Armenia,Yerevan,Asia,2010,2946293,29743,-0.07013678,9260284938
198,Aruba,Oranjestad,North America,2010,100341,180,0.126148977,2390502793
55,Australia,Canberra,Oceania,2010,22019168,7692024,0.157808962,1.14759E+12
99,Austria,Vienna,Europe,2010,8362829,83871,0.04399278,3.91893E+11
91,Azerbaijan,Baku,Asia,2010,9237202,86600,0.127817085,52909294792
176,Bahamas,Nassau,North America,2010,373272,13943,0.148479758,10095760000
154,Bahrain,Manama,Asia,2010,1213645,765,0.705894507,25713271277
8,Bangladesh,Dhaka,Asia,2010,148391139,147570,0.148597551,1.15279E+11
186,Barbados,Bridgetown,North America,2010,274711,430,0.037988793,4530000000
96,Belarus,Minsk,Europe,2010,9731427,207600,-0.051192597,57222490769
81,Belgium,Brussels,Europe,2010,10877947,30528,0.059780153,4.80952E+11
177,Belize,Belmopan,North America,2010,322106,22966,0.339841768,1377177100
77,Benin,Porto-Novo,Africa,2010,9445710,112622,0.349768356,9535344283
206,Bermuda,Hamilton,North America,2010,63447,54,0.033827052,6634526000
165,Bhutan,Thimphu,Asia,2010,705516,38394,0.201477503,1547991318
80,Bolivia,Sucre,South America,2010,10223270,1098581,0.189768332,19649631314
137,Bosnia and Herzegovina,Sarajevo,Europe,2010,3811088,51209,-0.088114659,17176781046
144,Botswana,Gaborone,Africa,2010,2091664,582000,0.211165123,12786654498
7,Brazil,Brasilia,South America,2010,196353492,8515767,0.116445891,2.20884E+12
221,British Virgin Islands,Road Town,North America,2010,27556,151,0.370672503,0
175,Brunei,Bandar Seri Begawan,Asia,2010,396053,5765,0.186050203,13707370737
108,Bulgaria,Sofia,Europe,2010,7592273,110879,-0.062415076,50682061053
58,Burkina Faso,Ouagadougou,Africa,2010,16116845,272967,0.356307069,10109618964
78,Burundi,Bujumbura,Africa,2010,9126605,27834,0.446908433,2032135247
73,Cambodia,Phnom Penh,Asia,2010,14363532,181035,0.18522324,11242275199
53,Cameroon,Yaounde,Africa,2010,19878036,475442,0.317159473,27507499709
39,Canada,Ottawa,North America,2010,33963412,9984670,0.106901722,1.61734E+12
171,Cape Verde,Praia,Africa,2010,521212,4033,0.137394136,1664310770
205,Cayman Islands,George Town,North America,2010,54074,264,0.363507993,4156990760
117,Central African Rep.,Bangui,Africa,2010,4660067,622984,0.239653168,2142591376
69,Chad,N'Djamena,Africa,2010,11894727,1284000,0.440190059,10668102735
65,Chile,Santiago,South America,2010,17004162,756102,0.107633184,2.18538E+11
1,China,Beijing,Asia,2010,1348191368,9706961,0.066523504,6.08716E+12
28,Colombia,Bogota,South America,2010,44816108,1141748,0.142826819,2.86563E+11
163,Comoros,Moroni,Africa,2010,656024,1862,0.222196968,907978723.5
223,Cook Islands,Avarua,Oceania,2010,17212,236,0.08272001,#N/A
124,Costa Rica,San José,North America,2010,4622252,51100,0.161605381,37658614803
130,Croatia,Zagreb,Europe,2010,4368682,56594,-0.039519536,60426018629
85,Cuba,Havana,North America,2010,11290417,109884,0.0166243,64328000000
189,Curacao,Willemstad,North America,2010,159380,444,0.12696572,0
158,Cyprus,Nicosia,Europe,2010,1129686,9251,0.19135406,25732432719
88,Czechia,Prague,Europe,2010,10464749,78865,0.022476357,2.0907E+11
115,Denmark,Copenhagen,Europe,2010,5550849,43094,0.039357345,3.21995E+11
160,Djibouti,Djibouti,Africa,2010,919199,23200,0.238757575,1128611700
204,Dominica,Roseau,North America,2010,68755,751,0.005984257,493825925.9
84,Dominican Republic,Santo Domingo,North America,2010,9775755,48671,0.144595975,53860175556
15,Dem. Rep. Congo,Kinshasa,Africa,2010,66391257,2344858,0.365616754,21565720044
67,Ecuador,Quito,South America,2010,14989585,276841,0.187152155,69555367000
14,Egypt,Cairo,Africa,2010,87252413,1002450,0.222512778,2.18984E+11
112,El Salvador,San Salvador,North America,2010,6114034,21041,0.026105978,18447920000
152,Eq. Guinea,Malabo,Africa,2010,1094524,28051,0.597898908,16314443429
132,Eritrea,Asmara,Africa,2010,3147727,117600,0.315455434,1589515447
156,Estonia,Tallinn,Europe,2010,1331535,45227,-0.046777204,19523477326
159,eSwatini,Mbabane,Africa,2010,1099920,17364,0.0673695,4438778424
12,Ethiopia,Addis Ababa,Africa,2010,89237791,1104300,0.331274139,29933790334
231,Falkland Islands,Stanley,South America,2010,3187,12173,0.03474026,#N/A
209,Faroe Islands,Tórshavn,Europe,2010,48410,1393,0.06022777,2320424601
162,Fiji,Suva,Oceania,2010,905169,18272,0.087278336,3140508836
118,Finland,Helsinki,Europe,2010,5363271,338424,0.036138804,2.49181E+11
23,France,Paris,Europe,2010,62444567,551695,0.064418049,2.64261E+12
184,French Guiana,Cayenne,South America,2010,228453,83534,0.390031092,#N/A
183,French Polynesia,Papeete,Oceania,2010,283788,4167,0.130958406,0
146,Gabon,Libreville,Africa,2010,1711105,267668,0.344220247,14372591916
142,Gambia,Banjul,Africa,2010,1937275,10689,0.347633003,1543292393
131,Georgia,Tbilisi,Asia,2010,3836831,69700,-0.100427603,12243505583
19,Germany,Berlin,Europe,2010,81325090,357114,-0.002778447,3.39635E+12
47,Ghana,Accra,Africa,2010,25574719,238533,0.300486456,32197272797
219,Gibraltar,Gibraltar,Europe,2010,31262,6,0.126924047,0
90,Greece,Athens,Europe,2010,11033783,131990,-0.000391915,2.96835E+11
208,Greenland,Nuuk,North America,2010,56351,2166086,0.002972376,2503156061
193,Grenada,Saint George's,North America,2010,114039,344,0.061499367,771013259.3
178,Guadeloupe,Basse-Terre,North America,2010,403072,1628,-0.049508686,#N/A
191,Guam,Hagåtña,Oceania,2010,164905,549,0.02944665,4949000000
68,Guatemala,Guatemala City,North America,2010,14543121,108889,0.239200098,40676432029
207,Guernsey,Saint Peter Port,Europe,2010,60782,78,0.028216666,#N/A
75,Guinea,Conakry,Africa,2010,10270728,245857,0.23195018,6853467858
149,Guinea-Bissau,Bissau,Africa,2010,1567220,36125,0.273283725,849878424.2
164,Guyana,Georgetown,South America,2010,747932,214969,-0.014648555,3432913073
82,Haiti,Port-au-Prince,North America,2010,9842880,27750,0.177346303,11859315079
89,Honduras,Tegucigalpa,North America,2010,8450933,112492,0.269533141,15729649159
104,Hong Kong,Hong Kong,Asia,2010,7132438,1104,0.059609475,2.28638E+11
94,Hungary,Budapest,Europe,2010,9986825,93028,-0.02109673,1.32231E+11
179,Iceland,Reykjavík,Europe,2010,318333,103000,0.130998145,13751161918
2,India,New Delhi,Asia,2010,1240613620,3287590,0.170794822,1.67562E+12
4,Indonesia,Jakarta,Asia,2010,244016173,1904569,0.139876738,7.55094E+11
17,Iran,Tehran,Asia,2010,75373855,1648195,0.149966657,4.86808E+11
35,Iraq,Baghdad,Asia,2010,31264875,438317,0.269440711,1.38517E+11
125,Ireland,Dublin,Europe,2010,4524585,70273,0.200489526,2.2166E+11
202,Isle of Man,Douglas,Europe,2010,83828,572,0.109393611,5920177689
98,Israel,Jerusalem,Asia,2010,7328445,20770,0.198053837,2.34655E+11
25,Italy,Rome,Europe,2010,59822450,301336,0.050135749,2.13402E+12
52,Côte d'Ivoire,Yamoussoukro,Africa,2010,21120042,322463,0.257170052,34936305297
139,Jamaica,Kingston,North America,2010,2733896,10991,0.046585547,13220556883
11,Japan,Tokyo,Asia,2010,128105431,377930,0.010264435,5.75907E+12
195,Jersey,Saint Helier,Europe,2010,96151,116,0.115544366,#N/A
83,Jordan,Amman,Asia,2010,6931258,89342,0.37085037,27133804225
66,Kazakhstan,Nursultan,Asia,2010,16627837,2724900,0.091333742,1.48047E+11
27,Kenya,Nairobi,Africa,2010,41517895,580367,0.345728809,45405587557
192,Kiribati,Tarawa,Oceania,2010,107995,811,0.215803931,156120439.3
129,Kuwait,Kuwait City,Asia,2010,2943356,17818,0.52119204,1.15419E+11
110,Kyrgyzstan,Bishkek,Asia,2010,5483774,199951,0.111159426,4794357795
103,Laos,Vientiane,Asia,2010,6323418,236800,0.164350794,7131773633
151,Latvia,Riga,Europe,2010,2101530,64559,-0.121628569,23956163077
119,Lebanon,Beirut,Asia,2010,4995800,10452,0.156263352,38443907042
147,Lesotho,Maseru,Africa,2010,2022747,30355,0.012066766,2234731974
121,Liberia,Monrovia,Africa,2010,4019956,111369,0.388478404,1998000000
107,Libya,Tripoli,Africa,2010,6491988,1759540,0.259408822,74773444901
216,Liechtenstein,Vaduz,Europe,2010,35926,160,0.087809605,5082366478
141,Lithuania,Vilnius,Europe,2010,3139019,65300,-0.127962347,37128694028
168,Luxembourg,Luxembourg,Europe,2010,507070,2586,0.163997723,56159192758
167,Macau,Concelho de Macau,Asia,2010,557297,30,0.290349992,28241858489
50,Madagascar,Antananarivo,Africa,2010,21731053,587041,0.340063853,9982711338
62,Malawi,Lilongwe,Africa,2010,14718422,118484,0.31070574,6959655571
